# R10_sample
k191_104240_1	K02078
k191_430318_1	K01995
k191_430318_1	K10822
k191_274202_1	K07020
k191_326357_1	K03526
k191_169815_1	K02343
k191_378275_2	K01923
k191_482569_1	K02492
k191_274203_1	K03724
k191_117698_1	K02275
k191_13625_1	K02841
k191_378277_2	K11690
k191_169820_1	K21023
k191_274204_2	K03518
k191_430320_2	K11529
k191_482576_1	K04066
k191_274208_1	K07497
k191_13632_1	K00954
k191_326368_1	K23176
k191_169827_2	K03608
k191_482578_1	K04077
k191_430326_1	K07462
k191_117707_1	K05524
k191_222037_2	K09791
k191_274211_1	K01858
k191_65727_1	K07161
k191_222038_1	K01915
k191_13636_1	K03642
k191_482580_2	K03704
k191_65728_1	K06911
k191_378288_1	K04744
k191_222039_2	K01087
k191_13640_1	K00525
k191_430338_1	K02410
k191_274222_1	K00927
k191_117716_1	K02876
k191_13642_1	K03088
k191_65739_2	K09931
k191_13643_1	K00548
k191_378294_2	K07285
k191_117718_2	K07488
k191_482593_1	K02886
k191_169836_1	K02033
k191_169836_2	K02034
k191_482595_1	K02909
k191_222040_1	K02931
k191_222040_2	K02954
k191_222040_3	K02994
k191_222040_4	K02933
k191_222040_5	K02881
k191_222040_6	K02988
k191_222040_7	K02907
k191_222040_8	K02876
k191_222040_9	K03076
k191_274227_1	K01868
k191_13647_1	K01599
k191_326373_3	K10563
k191_274229_1	K01251
k191_222044_1	K00986
k191_326375_1	K02651
k191_169844_1	K07104
k191_430351_1	K02194
k191_222046_1	K06006
k191_13651_1	K09710
k191_13652_1	K07090
k191_430353_1	K00231
k191_274234_2	K02483
k191_117723_2	K01993
k191_117723_2	K02005
k191_482602_1	K02313
k191_378309_1	K07068
k191_274236_2	K02050
k191_13653_2	K01989
k191_13653_3	K01989
k191_326383_1	K03466
k191_274238_1	K03641
k191_482609_1	K06217
k191_117734_1	K01887
k191_169861_1	K03553
k191_117736_2	K07156
k191_222062_1	K01874
k191_222063_1	K01207
k191_222064_1	K12132
k191_222064_1	K11912
k191_13666_1	K07152
k191_378321_1	K09013
k191_65764_1	K03559
k191_378322_1	K03088
k191_117745_1	K21395
k191_326394_2	K00997
k191_326394_3	K03100
k191_326394_4	K03685
k191_274252_1	K16079
k191_222069_1	K02793
k191_222070_1	K02687
k191_65768_1	K04749
k191_430375_1	K07492
k191_326397_1	K21162
k191_482620_2	K02025
k191_65771_1	K00965
k191_378330_1	K01711
k191_430376_1	K03284
k191_222076_1	K02878
k191_378331_2	K06902
k191_378332_1	K01251
k191_326402_1	K00548
k191_274260_1	K17763
k191_430379_1	K00242
k191_65776_1	K02935
k191_378335_1	K01005
k191_482627_1	K02886
k191_482627_2	K02965
k191_274264_1	K06287
k191_482628_2	K02431
k191_169881_1	K01915
k191_482629_1	K02050
k191_222084_1	K03073
k191_222084_2	K02601
k191_65781_1	K04564
k191_13680_1	K21929
k191_222085_1	K03320
k191_169886_1	K07497
k191_326411_2	K06152
k191_117761_2	K04782
k191_117761_3	K02434
k191_430389_1	K07304
k191_13686_1	K07794
k191_222094_1	K06048
k191_482640_2	K02982
k191_378344_1	K02886
k191_117764_1	K07493
k191_430391_1	K10773
k191_65785_2	K02669
k191_117766_1	K01953
k191_378347_1	K01989
k191_222099_1	K03526
k191_13689_2	K01061
k191_378349_1	K06886
k191_13690_1	K09164
k191_430396_1	K06976
k191_274277_2	K00979
k191_378350_1	K01834
k191_378351_1	K01637
k191_65791_1	K03088
k191_482648_2	K02878
k191_222103_1	K03705
k191_222104_1	K01874
k191_430405_1	K01061
k191_13697_1	K01768
k191_169898_1	K07032
k191_222106_1	K15256
k191_65796_2	K02884
k191_222109_1	K07486
k191_65797_1	K08305
k191_482655_1	K00867
k191_378363_1	K05555
k191_326427_1	K02004
k191_13702_1	K03282
k191_482656_1	K02004
k191_169902_1	K01912
k191_117782_1	K02338
k191_65800_1	K01409
k191_65800_2	K03789
k191_13703_2	K02034
k191_378368_1	K00606
k191_274287_2	K07284
k191_222113_1	K01874
k191_169904_2	K02518
k191_274290_1	K03544
k191_169905_1	K10804
k191_65802_1	K03814
k191_326429_1	K02340
k191_482662_1	K01092
k191_378371_2	K01095
k191_430415_1	K01953
k191_169907_1	K01714
k191_430417_1	K09888
k191_13711_1	K01915
k191_378373_1	K01251
k191_274293_1	K01251
k191_326432_1	K01915
k191_482665_2	K07218
k191_430418_1	K01507
k191_169910_1	K04751
k191_326434_1	K02431
k191_274296_1	K03979
k191_13715_1	K03438
k191_482669_2	K03524
k191_13717_2	K06199
k191_326437_1	K02004
k191_222124_2	K01995
k191_222124_2	K10822
k191_378378_2	K01480
k191_378379_1	K21395
k191_274298_1	K07482
k191_274298_1	K07497
k191_378381_1	K07493
k191_482672_1	K03521
k191_430425_2	K03088
k191_482673_1	K13639
k191_65816_1	K01887
k191_169916_1	K02986
k191_222130_1	K17103
k191_274301_1	K02035
k191_222133_1	K02518
k191_482677_1	K07114
k191_169925_1	K04764
k191_378388_1	K05995
k191_482682_1	K01417
k191_13728_2	K07486
k191_430431_1	K06048
k191_65824_1	K00275
k191_378394_1	K03116
k191_65827_1	K00525
k191_378395_2	K02437
k191_13730_1	K01881
k191_326456_2	K02503
k191_222141_1	K08309
k191_65828_1	K01409
k191_430437_1	K10823
k191_430437_1	K02032
k191_169930_2	K06912
k191_274316_1	K01874
k191_65833_2	K00457
k191_482691_1	K03924
k191_430439_1	K01953
k191_65834_1	K02863
k191_430442_1	K06901
k191_430443_2	K06287
k191_13742_1	K03569
k191_378411_1	K02314
k191_482695_1	K07403
k191_274321_1	K03561
k191_430445_1	K01875
k191_65838_2	K00766
k191_169944_2	K09948
k191_326473_1	K02066
k191_222159_1	K03711
k191_65844_1	K07494
k191_326474_1	K00033
k191_13747_3	K02200
k191_430453_1	K03544
k191_222161_1	K02967
k191_13750_1	K00927
k191_169947_1	K06920
k191_169949_1	K03531
k191_430456_2	K01653
k191_326478_1	K02906
k191_326478_2	K02926
k191_430458_1	K01042
k191_430460_1	K00549
k191_65851_1	K10804
k191_430464_1	K00425
k191_274341_1	K00764
k191_13759_1	K07497
k191_430465_1	K07716
k191_274342_2	K02456
k191_482711_1	K02992
k191_326485_1	K02034
k191_169958_1	K07171
k191_169959_1	K03497
k191_65856_1	K02967
k191_222173_1	K02358
k191_430468_1	K07486
k191_378429_1	K08217
k191_482713_1	K04773
k191_430470_1	K01251
k191_117840_1	K01785
k191_117841_1	K05606
k191_482717_2	K02946
k191_482718_2	K02956
k191_169969_1	K00873
k191_222183_1	K13993
k191_117849_1	K03639
k191_326493_1	K00059
k191_378438_1	K03544
k191_274355_1	K03601
k191_326494_1	K03569
k191_117851_1	K07462
k191_222186_2	K09801
k191_222186_3	K18588
k191_430481_1	K03705
k191_326497_1	K00705
k191_169975_1	K03702
k191_430483_1	K02113
k191_482725_1	K07243
k191_222189_1	K08972
k191_117857_1	K01008
k191_326498_1	K01426
k191_326499_1	K00286
k191_430485_1	K06217
k191_222190_1	K00019
k191_378444_1	K04773
k191_222191_1	K00925
k191_65878_1	K10947
k191_430490_2	K07401
k191_65879_1	K02994
k191_430491_1	K03924
k191_326507_1	K07219
k191_430492_1	K02111
k191_169988_1	K01273
k191_222201_1	K02338
k191_65886_1	K04485
k191_222202_1	K01653
k191_274371_1	K01991
k191_117867_2	K02968
k191_378454_2	K24042
k191_326514_1	K01206
k191_13785_1	K05913
k191_13785_1	K07167
k191_13785_4	K00761
k191_326515_1	K03808
k191_378458_1	K02946
k191_430495_2	K00615
k191_430496_1	K02004
k191_326519_1	K02217
k191_117871_2	K01644
k191_65894_1	K07486
k191_169999_1	K06153
k191_378461_2	K00331
k191_378463_1	K22310
k191_170001_1	K01462
k191_326523_1	K02242
k191_117875_1	K01251
k191_117876_1	K02897
k191_222208_1	K02377
k191_482752_1	K03313
k191_378465_1	K21395
k191_326524_1	K11645
k191_170007_1	K07486
k191_117882_2	K06877
k191_65906_1	K02034
k191_222216_1	K04077
k191_65907_1	K07486
k191_170011_1	K21142
k191_170011_1	K03635
k191_170011_1	K03636
k191_65908_1	K09774
k191_65909_1	K01644
k191_117891_1	K00809
k191_378474_1	K00549
k191_65911_1	K07082
k191_326537_1	K01061
k191_378476_1	K14083
k191_378477_1	K00800
k191_482765_2	K05343
k191_170017_1	K03781
k191_13806_3	K00981
k191_326542_1	K00948
k191_482769_1	K02879
k191_65917_1	K04078
k191_65917_2	K04077
k191_170022_1	K03628
k191_222228_1	K03722
k191_65919_1	K01866
k191_274394_1	K00948
k191_65920_1	K10234
k191_378489_1	K02314
k191_326548_1	K01755
k191_222232_1	K07264
k191_274400_1	K09014
k191_274404_1	K00948
k191_13824_1	K00926
k191_378499_1	K02066
k191_65925_1	K13584
k191_378500_1	K09022
k191_430533_1	K00703
k191_222239_1	K11902
k191_13826_1	K09769
k191_222242_2	K03925
k191_170039_1	K06001
k191_170039_2	K07486
k191_13829_1	K02055
k191_378506_1	K02950
k191_222244_1	K02967
k191_65931_1	K02888
k191_430541_1	K02313
k191_117917_2	K00796
k191_274415_1	K06925
k191_482804_1	K03559
k191_65936_2	K02874
k191_13838_1	K03593
k191_274416_2	K00799
k191_65939_1	K00793
k191_378516_1	K01626
k191_274418_1	K01912
k191_482807_1	K04065
k191_430552_2	K00338
k191_378518_1	K08602
k191_378519_1	K01626
k191_378520_1	K05845
k191_430554_1	K00982
k191_170053_1	K07735
k191_326578_1	K00688
k191_117925_1	K02945
k191_378524_2	K02065
k191_430559_1	K07491
k191_65943_3	K03392
k191_65943_3	K07045
k191_65943_4	K02035
k191_222267_1	K03569
k191_274427_1	K04077
k191_274427_2	K04078
k191_378528_2	K00789
k191_430563_1	K01880
k191_482822_1	K01689
k191_326586_2	K20866
k191_13852_1	K01423
k191_378530_1	K00075
k191_378531_2	K06187
k191_274436_1	K06925
k191_65949_1	K02221
k191_13856_1	K00789
k191_117940_1	K02435
k191_13857_1	K02933
k191_274438_1	K02838
k191_274439_1	K03624
k191_117943_1	K20523
k191_326595_1	K01627
k191_378537_1	K02238
k191_170074_1	K03724
k191_378538_1	K12574
k191_482833_2	K05773
k191_13866_1	K01462
k191_326603_1	K00655
k191_170084_1	K07486
k191_117952_1	K01934
k191_430575_2	K00799
k191_65965_1	K07493
k191_378548_1	K12373
k191_326608_1	K03040
k191_482840_1	K11690
k191_430578_2	K02033
k191_117958_1	K00789
k191_117960_1	K02221
k191_326610_1	K03734
k191_222294_1	K03821
k191_65970_2	K02004
k191_117962_1	K07485
k191_13876_1	K01939
k191_274458_1	K07090
k191_430583_1	K01039
k191_170093_1	K22278
k191_482851_1	K03630
k191_13878_2	K08683
k191_326618_1	K02051
k191_378556_1	K01480
k191_65974_1	K01736
k191_430586_1	K02996
k191_430586_2	K02871
k191_65975_1	K07462
k191_482853_1	K01926
k191_222302_1	K07058
k191_326624_1	K06346
k191_13884_1	K21929
k191_222303_1	K09710
k191_326626_1	K02892
k191_170101_1	K01953
k191_430588_1	K22451
k191_378561_2	K03088
k191_117976_1	K06006
k191_430589_1	K01698
k191_117977_1	K01868
k191_326631_2	K02110
k191_326631_3	K02109
k191_378565_1	K03418
k191_482854_2	K01768
k191_482854_2	K11443
k191_482854_3	K01462
k191_65979_1	K10822
k191_65979_2	K01996
k191_65979_2	K10822
k191_65979_3	K03704
k191_274486_1	K06911
k191_430597_1	K07478
k191_117983_1	K10914
k191_326640_1	K06346
k191_222317_1	K00674
k191_482859_1	K16168
k191_326642_1	K06133
k191_378581_1	K03664
k191_274494_1	K01251
k191_117988_1	K18979
k191_430605_1	K00764
k191_13906_2	K04100
k191_65989_1	K02946
k191_170113_1	K02033
k191_170113_2	K02035
k191_430608_1	K01005
k191_65990_1	K02358
k191_378586_1	K00598
k191_222324_1	K03531
k191_326645_1	K07315
k191_222326_1	K02342
k191_222326_1	K09951
k191_170116_1	K03496
k191_222327_1	K01874
k191_13912_1	K03564
k191_170119_1	K00033
k191_222331_1	K14083
k191_326654_1	K21395
k191_430613_2	K02033
k191_170122_1	K06204
k191_482874_1	K07232
k191_65999_1	K11477
k191_13917_1	K01624
k191_66000_1	K05337
k191_378595_1	K00525
k191_118003_1	K01358
k191_118004_1	K02946
k191_66001_1	K03544
k191_66002_1	K07407
k191_274514_1	K09748
k191_222339_2	K03088
k191_430619_1	K02887
k191_430619_2	K01889
k191_118007_1	K06888
k191_326657_2	K06287
k191_13922_2	K07503
k191_482879_1	K02200
k191_66005_1	K01608
k191_430623_1	K01626
k191_13925_1	K01239
k191_274521_1	K07486
k191_378602_1	K01872
k191_430625_1	K01997
k191_170137_1	K11753
k191_118014_1	K07336
k191_274526_1	K17247
k191_326666_1	K00820
k191_170139_1	K02945
k191_274527_1	K02806
k191_118019_1	K01588
k191_170140_2	K01999
k191_66017_1	K03737
k191_482885_1	K01998
k191_326671_1	K02160
k191_430636_1	K22452
k191_118022_1	K15975
k191_222355_2	K05995
k191_326674_1	K01995
k191_326674_1	K10822
k191_118026_1	K00507
k191_482890_1	K02456
k191_430642_1	K00943
k191_170149_1	K17675
k191_66020_1	K06204
k191_482891_1	K00433
k191_326679_2	K08998
k191_378620_1	K03466
k191_222363_1	K07090
k191_274540_1	K03549
k191_170154_1	K07486
k191_326680_1	K03070
k191_274542_1	K03100
k191_170156_1	K01752
k191_13952_1	K03320
k191_170157_1	K04754
k191_66023_1	K07323
k191_13954_1	K03088
k191_66025_1	K05808
k191_378626_1	K02114
k191_378627_2	K08316
k191_222367_1	K24126
k191_274543_2	K16927
k191_170162_2	K06888
k191_274544_1	K02952
k191_378631_1	K12574
k191_66027_1	K00240
k191_13959_1	K02302
k191_13959_1	K02303
k191_118040_2	K02032
k191_170166_1	K01599
k191_118041_1	K07402
k191_430657_1	K01756
k191_13960_1	K05794
k191_222374_1	K01689
k191_482903_1	K00831
k191_482906_1	K01945
k191_274550_1	K03497
k191_66031_1	K07462
k191_170169_1	K03925
k191_482909_1	K06187
k191_274551_1	K00600
k191_118048_1	K01251
k191_170171_1	K01061
k191_222382_1	K01477
k191_222384_1	K06976
k191_170173_2	K02437
k191_482914_1	K22736
k191_118052_1	K05555
k191_66038_1	K06164
k191_66038_2	K06165
k191_222387_1	K07486
k191_378648_1	K01595
k191_274557_2	K02895
k191_274558_1	K06996
k191_170177_1	K06915
k191_66042_1	K03531
k191_378649_2	K17322
k191_66043_1	K07486
k191_13976_1	K03601
k191_222394_1	K03040
k191_430671_2	K01902
k191_378652_2	K17230
k191_170179_2	K02034
k191_66045_1	K01866
k191_118060_2	K07492
k191_118060_3	K07492
k191_326705_1	K02510
k191_66047_1	K03644
k191_274564_1	K00245
k191_274564_1	K00240
k191_482924_1	K09796
k191_118061_1	K17724
k191_482927_1	K03088
k191_170185_2	K09986
k191_13979_2	K07052
k191_13979_3	K02242
k191_66052_1	K03561
k191_222400_2	K07481
k191_13980_1	K01262
k191_326711_1	K01755
k191_118065_1	K00748
k191_274567_1	K03665
k191_170190_1	K13292
k191_482932_2	K03518
k191_170193_1	K02066
k191_118068_2	K10822
k191_378665_1	K00602
k191_66060_1	K03526
k191_326717_1	K01939
k191_430686_1	K03744
k191_66063_1	K05539
k191_482939_1	K01712
k191_430688_1	K00688
k191_326719_1	K07486
k191_66064_1	K10822
k191_378669_1	K00602
k191_170199_1	K07793
k191_118070_1	K01053
k191_222408_1	K23536
k191_170201_1	K21140
k191_118071_1	K03601
k191_482942_2	K09747
k191_66065_1	K01091
k191_222411_1	K00433
k191_378673_1	K01854
k191_170203_2	K08082
k191_118074_1	K06997
k191_430693_1	K01915
k191_274583_1	K06167
k191_14002_1	K02004
k191_66070_1	K05805
k191_118075_1	K01869
k191_326733_1	K00560
k191_118076_2	K00760
k191_14003_2	K01607
k191_274588_1	K00099
k191_170209_1	K07793
k191_482957_1	K01462
k191_326736_1	K03446
k191_430710_2	K01775
k191_118082_1	K07483
k191_66084_1	K11175
k191_378684_1	K06015
k191_14011_1	K01470
k191_14011_2	K02034
k191_430713_1	K01358
k191_170212_1	K02931
k191_170212_2	K02954
k191_170212_3	K02994
k191_170212_4	K02933
k191_14012_1	K00705
k191_326745_1	K10232
k191_118086_1	K00525
k191_430714_2	K02358
k191_66089_1	K22737
k191_170215_1	K01356
k191_222435_1	K06861
k191_222435_1	K10822
k191_222435_2	K09774
k191_482964_1	K02416
k191_378690_1	K03892
k191_222436_1	K06891
k191_482966_1	K13281
k191_274606_1	K01858
k191_378694_1	K02838
k191_430721_1	K02897
k191_14021_1	K02379
k191_222440_1	K04748
k191_430722_1	K01991
k191_274610_1	K01465
k191_14023_2	K01889
k191_170226_1	K10773
k191_482972_1	K18855
k191_118095_1	K07486
k191_118096_1	K03553
k191_326757_1	K07277
k191_482973_1	K15371
k191_378698_1	K14591
k191_222442_2	K00215
k191_222442_3	K01714
k191_118098_1	K00926
k191_274615_1	K03668
k191_222443_1	K02992
k191_482976_1	K00954
k191_14031_1	K01000
k191_118101_1	K02886
k191_118101_2	K02965
k191_118101_3	K02890
k191_66110_1	K03531
k191_378704_1	K02282
k191_326769_2	K02242
k191_482978_1	K02805
k191_14035_1	K07192
k191_274625_1	K06987
k191_118103_1	K07795
k191_66116_1	K07482
k191_118104_1	K03088
k191_222458_1	K01872
k191_274627_1	K00858
k191_66117_1	K12132
k191_222461_1	K02963
k191_222461_2	K02939
k191_378709_1	K17323
k191_66119_1	K07497
k191_430741_1	K03832
k191_326775_1	K00641
k191_274632_1	K23518
k191_170239_1	K06162
k191_170239_2	K05774
k191_222463_1	K03040
k191_118109_1	K01358
k191_378716_2	K02990
k191_378716_2	K01056
k191_118113_1	K17725
k191_274636_2	K17836
k191_274637_1	K02510
k191_430746_1	K15270
k191_222468_1	K02501
k191_66127_1	K03040
k191_118116_1	K03496
k191_170246_1	K18843
k191_170247_1	K02160
k191_482993_1	K09800
k191_118118_1	K07315
k191_170248_1	K07152
k191_222473_1	K03497
k191_482994_1	K07493
k191_118120_1	K02887
k191_378725_1	K01951
k191_326790_1	K03634
k191_326790_2	K09767
k191_170249_1	K02067
k191_170250_1	K01915
k191_430762_1	K00748
k191_326795_1	K07497
k191_14064_1	K02113
k191_378730_2	K06192
k191_66139_1	K01971
k191_430766_1	K02338
k191_118129_1	K07486
k191_222480_1	K02338
k191_222480_2	K02313
k191_430767_1	K12574
k191_14065_1	K01113
k191_483009_1	K03621
k191_378734_1	K06048
k191_222483_1	K01883
k191_14069_1	K02982
k191_66143_1	K06994
k191_222484_1	K03634
k191_483012_1	K04077
k191_326801_1	K06381
k191_274660_1	K00053
k191_430774_1	K06890
k191_118138_1	K14652
k191_66147_1	K00145
k191_430776_1	K02963
k191_430777_1	K03704
k191_118140_1	K03544
k191_170262_3	K07006
k191_326806_1	K00134
k191_430779_1	K03799
k191_222491_1	K03593
k191_170264_1	K21929
k191_378745_1	K02358
k191_326809_1	K03925
k191_14081_1	K03628
k191_483026_1	K00799
k191_118147_1	K11961
k191_170266_1	K01997
k191_274669_1	K02600
k191_170268_1	K02600
k191_14087_1	K02410
k191_483030_1	K01915
k191_326811_1	K10532
k191_430780_2	K02035
k191_326815_1	K00526
k191_14092_1	K09457
k191_274677_1	K04066
k191_274678_1	K03553
k191_170273_1	K02046
k191_274679_1	K00858
k191_118157_2	K01607
k191_170276_1	K02536
k191_326822_1	K02282
k191_430791_1	K01626
k191_66171_1	K18682
k191_118161_1	K02458
k191_222512_1	K08976
k191_274684_1	K03116
k191_483046_1	K02004
k191_66174_2	K03892
k191_430793_1	K01937
k191_483049_1	K01409
k191_222515_1	K07795
k191_326829_2	K02610
k191_378762_1	K05815
k191_378762_2	K05814
k191_378762_3	K05813
k191_118165_1	K09386
k191_430794_1	K02050
k191_326830_2	K02881
k191_274688_1	K02992
k191_378763_1	K00067
k191_378764_1	K07053
k191_378767_1	K02015
k191_430801_1	K01520
k191_326836_1	K04077
k191_483052_1	K00766
k191_378768_1	K04564
k191_118170_2	K09013
k191_430806_1	K00077
k191_170287_1	K09022
k191_483055_1	K03709
k191_66184_1	K01005
k191_430808_1	K15633
k191_378773_1	K03088
k191_118172_1	K00799
k191_430809_1	K01953
k191_66186_1	K22025
k191_170289_1	K07795
k191_483059_1	K02416
k191_118173_1	K00053
k191_274698_1	K02992
k191_483061_1	K02933
k191_118174_2	K02654
k191_222528_4	K01358
k191_118175_1	K02393
k191_222529_1	K09694
k191_378778_1	K02004
k191_430814_1	K01610
k191_170294_1	K12976
k191_14119_2	K00989
k191_483065_1	K08218
k191_14120_1	K03426
k191_274701_1	K00413
k191_326849_1	K01778
k191_274703_1	K03406
k191_222533_1	K02899
k191_222533_2	K02888
k191_66195_1	K03088
k191_222534_1	K00873
k191_326854_1	K03628
k191_483072_1	K07486
k191_118184_1	K00927
k191_378787_1	K03402
k191_222538_1	K02907
k191_483073_2	K06199
k191_170309_1	K02224
k191_222545_1	K02959
k191_66202_1	K01673
k191_430837_2	K02066
k191_118195_1	K04773
k191_170313_2	K03282
k191_430839_1	K22081
k191_274714_1	K00859
k191_118196_1	K02945
k191_430840_1	K02314
k191_483084_1	K02897
k191_430841_1	K06872
k191_430842_1	K01621
k191_118199_1	K02954
k191_14144_1	K06213
k191_66212_1	K02394
k191_378800_2	K07738
k191_170318_1	K01638
k191_326874_1	K01297
k191_66215_1	K07492
k191_483087_1	K03574
k191_118204_1	K04066
k191_222562_1	K09930
k191_378806_1	K03526
k191_483093_2	K01996
k191_483093_2	K10822
k191_66223_1	K03100
k191_66223_2	K02884
k191_430854_1	K03595
k191_378810_1	K01596
k191_222573_1	K03973
k191_222574_1	K03687
k191_14163_1	K03151
k191_222575_1	K03101
k191_274733_1	K02314
k191_326891_1	K03704
k191_222579_1	K03092
k191_170333_1	K09013
k191_14167_1	K18013
k191_222580_1	K02982
k191_483105_1	K00700
k191_66226_1	K03469
k191_118219_2	K00161
k191_326899_1	K09933
k191_326900_1	K06911
k191_483106_1	K02939
k191_483106_2	K02314
k191_118222_1	K09882
k191_170346_1	K07090
k191_378821_1	K07486
k191_274747_1	K03924
k191_430868_1	K07497
k191_14173_2	K23265
k191_430871_1	K02899
k191_483110_1	K00525
k191_118226_1	K03046
k191_326904_1	K02026
k191_274749_1	K01251
k191_170350_1	K01689
k191_378828_1	K01939
k191_222594_1	K02078
k191_66241_2	K11530
k191_274757_2	K04083
k191_378830_1	K02510
k191_326908_1	K01937
k191_483114_1	K07034
k191_170355_1	K07482
k191_222599_1	K01610
k191_326912_1	K07979
k191_274760_2	K03413
k191_326914_1	K01358
k191_274761_1	K03088
k191_170359_1	K03628
k191_66246_1	K01595
k191_170360_2	K00549
k191_14185_1	K07141
k191_66249_1	K04075
k191_274765_2	K00240
k191_483123_1	K00600
k191_118239_3	K09761
k191_118239_4	K02687
k191_170364_1	K01989
k191_378841_1	K02527
k191_483125_1	K00760
k191_66250_1	K00796
k191_66251_1	K01273
k191_222605_1	K02357
k191_378844_1	K02242
k191_222606_1	K00615
k191_274774_1	K07220
k191_326924_1	K00688
k191_66253_1	K03924
k191_14194_1	K03651
k191_170374_1	K06041
k191_170375_1	K06024
k191_118245_2	K09803
k191_430897_1	K07323
k191_170376_1	K07165
k191_14195_2	K00330
k191_274777_1	K07497
k191_378846_1	K07054
k191_378846_2	K02343
k191_118247_2	K01419
k191_483133_1	K01989
k191_274782_1	K01689
k191_326931_1	K03188
k191_170382_1	K00963
k191_118251_1	K05913
k191_222609_1	K03043
k191_378851_1	K07486
k191_483137_1	K03088
k191_274785_1	K00937
k191_66262_1	K01953
k191_326937_1	K00609
k191_170388_1	K06048
k191_378855_1	K03702
k191_430910_1	K02259
k191_483144_2	K02066
k191_14210_1	K01953
k191_14212_1	K02867
k191_66270_1	K00031
k191_483148_1	K00943
k191_326944_2	K06213
k191_14214_1	K00799
k191_66271_1	K00446
k191_170394_2	K01507
k191_483152_1	K01546
k191_378860_1	K07486
k191_66272_1	K02358
k191_222620_1	K01426
k191_118264_1	K00548
k191_66275_1	K06013
k191_14221_1	K08602
k191_274800_1	K13075
k191_483154_1	K03438
k191_326950_1	K00950
k191_222628_1	K09121
k191_274803_1	K07646
k191_14225_1	K03641
k191_66277_1	K18939
k191_170405_1	K01953
k191_66281_1	K00616
k191_118280_2	K04749
k191_326960_2	K03667
k191_170407_1	K01478
k191_274811_1	K01915
k191_222635_1	K00161
k191_118283_1	K00602
k191_14231_1	K02437
k191_14231_2	K00605
k191_326963_1	K07497
k191_170409_1	K01056
k191_170409_2	K02990
k191_170409_3	K03111
k191_430932_1	K00820
k191_118285_1	K02338
k191_222639_2	K10947
k191_326965_1	K00570
k191_66285_2	K01736
k191_274815_2	K02863
k191_170412_1	K02195
k191_170413_1	K02913
k191_14235_1	K03526
k191_378881_1	K04074
k191_66287_1	K02906
k191_118291_1	K18352
k191_483171_1	K00560
k191_378884_1	K13584
k191_326972_1	K18672
k191_170418_2	K02965
k191_14239_1	K00145
k191_274822_1	K01283
k191_170423_1	K07493
k191_274823_1	K09796
k191_66293_2	K07494
k191_378890_2	K07795
k191_222654_1	K01951
k191_274826_1	K07497
k191_14243_1	K01151
k191_378892_1	K00997
k191_222655_1	K00990
k191_170425_1	K01278
k191_66298_1	K02051
k191_430954_1	K00077
k191_118298_1	K00208
k191_170427_1	K01039
k191_430956_1	K01989
k191_326984_1	K03088
k191_66301_2	K00435
k191_222660_1	K03406
k191_483181_1	K00451
k191_483181_2	K00457
k191_378901_1	K02878
k191_430958_1	K01640
k191_326989_1	K01447
k191_66304_2	K02040
k191_118304_1	K01689
k191_222665_1	K04656
k191_326995_1	K01061
k191_430965_1	K01258
k191_326996_2	K01470
k191_222672_2	K01889
k191_170436_1	K03046
k191_430966_1	K03088
k191_14257_2	K00549
k191_274843_1	K01758
k191_274843_1	K01760
k191_274843_1	K01739
k191_378910_1	K03466
k191_222676_1	K02078
k191_274846_1	K02879
k191_274847_1	K03545
k191_118318_1	K00548
k191_483195_1	K00986
k191_66319_2	K06138
k191_170441_2	K00640
k191_14263_1	K03797
k191_222680_1	K03040
k191_14264_2	K04078
k191_118322_1	K18189
k191_14265_1	K15371
k191_66322_1	K01251
k191_378920_1	K03521
k191_274856_1	K11178
k191_483202_1	K03594
k191_430977_1	K00657
k191_66324_1	K21929
k191_483203_1	K12984
k191_430978_1	K01778
k191_14270_1	K09131
k191_14270_2	K02221
k191_274858_1	K02864
k191_170445_1	K06207
k191_483205_1	K01255
k191_66329_1	K03568
k191_14272_1	K01056
k191_14273_1	K15777
k191_170448_1	K21310
k191_483209_1	K00927
k191_222687_1	K02303
k191_14276_1	K00525
k191_118336_1	K07735
k191_14277_2	K07164
k191_430989_1	K07335
k191_118337_1	K00245
k191_118337_1	K00240
k191_430991_1	K02314
k191_14280_2	K03643
k191_170458_1	K02034
k191_222692_1	K01455
k191_378936_1	K02879
k191_118338_2	K08738
k191_483217_1	K03590
k191_170462_1	K07646
k191_66342_1	K05555
k191_14281_2	K07001
k191_118342_1	K14415
k191_66343_1	K09760
k191_483221_1	K01409
k191_430998_1	K01999
k191_118344_1	K01953
k191_327033_1	K03924
k191_274886_1	K01867
k191_170466_2	K19793
k191_431001_1	K09760
k191_66347_1	K07492
k191_483224_2	K02834
k191_118347_1	K04088
k191_14287_1	K02031
k191_483227_1	K01595
k191_327039_1	K11753
k191_378950_1	K06134
k191_274890_1	K00602
k191_327041_1	K03177
k191_274891_1	K03665
k191_274892_1	K01736
k191_431006_1	K07004
k191_222716_1	K03217
k191_431009_1	K04751
k191_431009_1	K04752
k191_14292_1	K02970
k191_222717_1	K06907
k191_222718_1	K07336
k191_14295_1	K21498
k191_378959_1	K02902
k191_66360_1	K08681
k191_222724_1	K00548
k191_66362_1	K19689
k191_118363_1	K05873
k191_483240_1	K00174
k191_327051_2	K04653
k191_327051_3	K03619
k191_118364_1	K03977
k191_14303_1	K01940
k191_483242_1	K04078
